Song - I Know Places - Voice Memo, Popularity - 0
Song - I Wish You Would - Voice Memo, Popularity - 0
Song - Blank Space - Voice Memo, Popularity - 0
Song - Jump Then Fall, Popularity - 36
Song - Tied Together with a Smile, Popularity - 36
Song - Hey Stephen, Popularity - 36
Song - Treacherous, Popularity - 37
Song - Change, Popularity - 37
Song - A Place in this World, Popularity - 37
Song - The Lucky One, Popularity - 37
Song - Invisible, Popularity - 37
Song - Begin Again, Popularity - 37
Song - Forever & Always, Popularity - 37
Song - Starlight, Popularity - 37
Song - State Of Grace, Popularity - 38
Song - Never Grow Up, Popularity - 38
Song - Babe, Popularity - 38
Song - Come Back...Be Here, Popularity - 38
Song - This Love, Popularity - 38
Song - White Horse, Popularity - 38
Song - I'm Only Me When I'm With You, Popularity - 38
Song - Holy Ground, Popularity - 39
Song - Fifteen, Popularity - 39
Song - Fearless, Popularity - 39
Song - Breathe, Popularity - 39
Song - I Know Places, Popularity - 39
Song - The Best Day, Popularity - 40
Song - The Story Of Us, Popularity - 40
Song - Speak Now, Popularity - 40
Song - Haunted, Popularity - 41
Song - Welcome To New York, Popularity - 41
Song - Teardrops On My Guitar - Radio Single Remix, Popularity - 42
Song - How You Get The Girl, Popularity - 42
Song - Sparks Fly, Popularity - 42
Song - Ours, Popularity - 42
Song - Wonderland, Popularity - 42
Song - Red, Popularity - 43
Song - Mean, Popularity - 43
Song - Mine, Popularity - 44
Song - Out Of The Woods, Popularity - 44
Song - Better Man, Popularity - 44
Song - All Too Well, Popularity - 45
Song - Our Song, Popularity - 45
Song - 22, Popularity - 45
Song - Treacherous - Original Demo Recording, Popularity - 45
Song - I Knew You Were Trouble., Popularity - 46
Song - Red - Original Demo Recording, Popularity - 46
Song - Wildest Dreams, Popularity - 48
Song - Girl At Home, Popularity - 48
Song - State Of Grace - Acoustic, Popularity - 48
Song - The Moment I Knew, Popularity - 49
Song - Ours - Live/2011, Popularity - 49
Song - epiphany, Popularity - 50
Song - peace, Popularity - 50
Song - hoax, Popularity - 50
Song - Sad Beautiful Tragic, Popularity - 50
Song - Mean - Live/2011, Popularity - 50
Song - Last Kiss - Live/2011, Popularity - 50
Song - mad woman, Popularity - 51
Song - the lakes - bonus track, Popularity - 51
Song - The Lucky One, Popularity - 51
Song - Starlight, Popularity - 51
Song - Mine - Live/2011, Popularity - 51
Song - Speak Now - Live/2011, Popularity - 51
Song - Bette Davis Eyes - Live/2011, Popularity - 51
Song - I Want You Back - Live/2011, Popularity - 51
Song - betty, Popularity - 52
Song - Holy Ground, Popularity - 52
Song - The Story Of Us - Live, Popularity - 52
Song - Dear John - Live/2011, Popularity - 52
Song - Haunted - Live/2011, Popularity - 52
Song - Long Live - Live/2011, Popularity - 52
Song - seven, Popularity - 53
Song - illicit affairs, Popularity - 53
Song - Treacherous, Popularity - 53
Song - Come Back...Be Here, Popularity - 53
Song - Sparks Fly - Live/2011, Popularity - 53
Song - Better Than Revenge - Live/2011, Popularity - 53
Song - mirrorball, Popularity - 54
Song - this is me trying, Popularity - 54
Song - invisible string, Popularity - 54
Song - Enchanted, Popularity - 54
Song - State Of Grace, Popularity - 54
Song - I Almost Do, Popularity - 54
Song - Stay Stay Stay, Popularity - 54
Song - Begin Again, Popularity - 54
Song - Enchanted - Live/2011, Popularity - 54
Song - the last great american dynasty, Popularity - 55
Song - exile (feat. Bon Iver), Popularity - 55
Song - my tears ricochet, Popularity - 55
Song - The Last Time, Popularity - 55
Song - Drops Of Jupiter - Live/2011, Popularity - 55
Song - the 1, Popularity - 56
Song - august, Popularity - 56
Song - epiphany - the long pond studio sessions, Popularity - 56
Song - Back To December/Apologize/You're Not Sorry - Live/2011/Medley, Popularity - 56
Song - mad woman - the long pond studio sessions, Popularity - 57
Song - peace - the long pond studio sessions, Popularity - 57
Song - So It Goes..., Popularity - 57
Song - This Love, Popularity - 57
Song - Back To December, Popularity - 57
Song - cardigan, Popularity - 58
Song - seven - the long pond studio sessions, Popularity - 58
Song - invisible string - the long pond studio sessions, Popularity - 58
Song - betty - the long pond studio sessions, Popularity - 58
Song - hoax - the long pond studio sessions, Popularity - 58
Song - I Wish You Would, Popularity - 58
Song - the last great american dynasty - the long pond studio sessions, Popularity - 59
Song - exile (feat. Bon Iver) - the long pond studio sessions, Popularity - 59
Song - the lakes - the long pond studio sessions, Popularity - 59
Song - How You Get The Girl, Popularity - 59
Song - Clean, Popularity - 59
Song - mirrorball - the long pond studio sessions, Popularity - 60
Song - illicit affairs - the long pond studio sessions, Popularity - 60
Song - Everything Has Changed, Popularity - 60
Song - Haunted - Acoustic Version, Popularity - 60
Song - the 1 - the long pond studio sessions, Popularity - 61
Song - this is me trying - the long pond studio sessions, Popularity - 61
Song - I Know Places, Popularity - 61
Song - Superman, Popularity - 61
Song - my tears ricochet - the long pond studio sessions, Popularity - 62
Song - august - the long pond studio sessions, Popularity - 62
Song - Out Of The Woods, Popularity - 62
